years,popChange,gdpChange,afterGdp,afterPopulation,beforePercent,flagChina,flagEU30,flagNafta,flagRow,flagRecycling,flagIncineration,flagLandfill,flagMismanaged,afterPercent,beforeYear,afterYear
1,0.0170676870722867,0.097973121980479,1010.83002720807,3943.325,0.0532,0,0,0,1,0,1,0,0,0.0533,1999,2000
1,0.0170676870722867,0.097973121980479,1010.83002720807,3943.325,0.3523,0,0,0,1,0,0,1,0,0.3568,1999,2000
1,0.0170676870722867,0.097973121980479,1010.83002720807,3943.325,0.5428,0,0,0,1,0,0,0,1,0.5325,1999,2000
1,0.0170676870722867,0.097973121980479,1010.83002720807,3943.325,0.0517,0,0,0,1,1,0,0,0,0.0574,1999,2000
1,0.0169179562932285,-0.0188380622779361,1008.56697336297,4010.038,0.0533,0,0,0,1,0,1,0,0,0.0534,2000,2001
1,0.0169179562932285,-0.0188380622779361,1008.56697336297,4010.038,0.3568,0,0,0,1,0,0,1,0,0.3355,2000,2001
1,0.0169179562932285,-0.0188380622779361,1008.56697336297,4010.038,0.5325,0,0,0,1,0,0,0,1,0.5479,2000,2001
1,0.0169179562932285,-0.0188380622779361,1008.56697336297,4010.038,0.0574,0,0,0,1,1,0,0,0,0.0632,2000,2001
1,0.0168818849098194,0.0536858008722752,1080.65329253905,4077.735,0.0534,0,0,0,1,0,1,0,0,0.0536,2001,2002
1,0.0168818849098194,0.0536858008722752,1080.65329253905,4077.735,0.3355,0,0,0,1,0,0,1,0,0.3254,2001,2002
1,0.0168818849098194,0.0536858008722752,1080.65329253905,4077.735,0.5479,0,0,0,1,0,0,0,1,0.5521,2001,2002
1,0.0168818849098194,0.0536858008722752,1080.65329253905,4077.735,0.0632,0,0,0,1,1,0,0,0,0.0689,2001,2002
1,0.016484886830557,0.026308085570811,1127.36632306426,4144.956,0.0536,0,0,0,1,0,1,0,0,0.0537,2002,2003
1,0.016484886830557,0.026308085570811,1127.36632306426,4144.956,0.3254,0,0,0,1,0,0,1,0,0.3353,2002,2003
1,0.016484886830557,0.026308085570811,1127.36632306426,4144.956,0.5521,0,0,0,1,0,0,0,1,0.5363,2002,2003
1,0.016484886830557,0.026308085570811,1127.36632306426,4144.956,0.0689,0,0,0,1,1,0,0,0,0.0746,2002,2003
1,0.0162448045286854,0.0557704300602537,1209.5752443298,4212.29,0.0537,0,0,0,1,0,1,0,0,0.0539,2003,2004
1,0.0162448045286854,0.0557704300602537,1209.5752443298,4212.29,0.3353,0,0,0,1,0,0,1,0,0.3507,2003,2004
1,0.0162448045286854,0.0557704300602537,1209.5752443298,4212.29,0.5363,0,0,0,1,0,0,0,1,0.5151,2003,2004
1,0.0162448045286854,0.0557704300602537,1209.5752443298,4212.29,0.0746,0,0,0,1,1,0,0,0,0.0804,2003,2004
1,0.0160007976658772,0.0481474558702396,1288.09923775969,4279.69,0.0539,0,0,0,1,0,1,0,0,0.054,2004,2005
1,0.0160007976658772,0.0481474558702396,1288.09923775969,4279.69,0.3507,0,0,0,1,0,0,1,0,0.3607,2004,2005
1,0.0160007976658772,0.0481474558702396,1288.09923775969,4279.69,0.5151,0,0,0,1,0,0,0,1,0.4992,2004,2005
1,0.0160007976658772,0.0481474558702396,1288.09923775969,4279.69,0.0804,0,0,0,1,1,0,0,0,0.0861,2004,2005
1,0.015903721998556,0.0440713476189365,1366.25590599146,4347.753,0.054,0,0,0,1,0,1,0,0,0.0542,2005,2006
1,0.015903721998556,0.0440713476189365,1366.25590599146,4347.753,0.3607,0,0,0,1,0,0,1,0,0.3677,2005,2006
1,0.015903721998556,0.0440713476189365,1366.25590599146,4347.753,0.4992,0,0,0,1,0,0,0,1,0.4862,2005,2006
1,0.015903721998556,0.0440713476189365,1366.25590599146,4347.753,0.0861,0,0,0,1,1,0,0,0,0.0919,2005,2006
1,0.015833696164432,0.0379242975276269,1440.52349417905,4416.594,0.0542,0,0,0,1,0,1,0,0,0.0543,2006,2007
1,0.015833696164432,0.0379242975276269,1440.52349417905,4416.594,0.3677,0,0,0,1,0,0,1,0,0.3816,2006,2007
1,0.015833696164432,0.0379242975276269,1440.52349417905,4416.594,0.4862,0,0,0,1,0,0,0,1,0.4665,2006,2007
1,0.015833696164432,0.0379242975276269,1440.52349417905,4416.594,0.0919,0,0,0,1,1,0,0,0,0.0976,2006,2007
1,0.0157001073678051,0.00383552305451261,1468.75177439806,4485.935,0.0543,0,0,0,1,0,1,0,0,0.0542,2007,2008
1,0.0157001073678051,0.00383552305451261,1468.75177439806,4485.935,0.3816,0,0,0,1,0,0,1,0,0.396,2007,2008
1,0.0157001073678051,0.00383552305451261,1468.75177439806,4485.935,0.4665,0,0,0,1,0,0,0,1,0.4464,2007,2008
1,0.0157001073678051,0.00383552305451261,1468.75177439806,4485.935,0.0976,0,0,0,1,1,0,0,0,0.1034,2007,2008
1,0.0157144497189536,-0.0338678953900574,1441.30717663338,4556.429,0.0542,0,0,0,1,0,1,0,0,0.0538,2008,2009
1,0.0157144497189536,-0.0338678953900574,1441.30717663338,4556.429,0.396,0,0,0,1,0,0,1,0,0.3801,2008,2009
1,0.0157144497189536,-0.0338678953900574,1441.30717663338,4556.429,0.4464,0,0,0,1,0,0,0,1,0.457,2008,2009
1,0.0157144497189536,-0.0338678953900574,1441.30717663338,4556.429,0.1034,0,0,0,1,1,0,0,0,0.1091,2008,2009
1,0.0157763897999955,0.0588004639141479,1550.13237273288,4628.313,0.0538,0,0,0,1,0,1,0,0,0.0533,2009,2010
1,0.0157763897999955,0.0588004639141479,1550.13237273288,4628.313,0.3801,0,0,0,1,0,0,1,0,0.401,2009,2010
1,0.0157763897999955,0.0588004639141479,1550.13237273288,4628.313,0.457,0,0,0,1,0,0,0,1,0.4308,2009,2010
1,0.0157763897999955,0.0588004639141479,1550.13237273288,4628.313,0.1091,0,0,0,1,1,0,0,0,0.1148,2009,2010
1,0.0155814872503219,0.0552337017974861,1661.23936967167,4700.429,0.0533,0,0,0,1,0,1,0,0,0.0559,2010,2011
1,0.0155814872503219,0.0552337017974861,1661.23936967167,4700.429,0.401,0,0,0,1,0,0,1,0,0.4116,2010,2011
1,0.0155814872503219,0.0552337017974861,1661.23936967167,4700.429,0.4308,0,0,0,1,0,0,0,1,0.412,2010,2011
1,0.0155814872503219,0.0552337017974861,1661.23936967167,4700.429,0.1148,0,0,0,1,1,0,0,0,0.1206,2010,2011
1,0.0154496536379971,0.0197423090318653,1720.20834122597,4773.049,0.0559,0,0,0,1,0,1,0,0,0.0559,2011,2012
1,0.0154496536379971,0.0197423090318653,1720.20834122597,4773.049,0.4116,0,0,0,1,0,0,1,0,0.4094,2011,2012
1,0.0154496536379971,0.0197423090318653,1720.20834122597,4773.049,0.412,0,0,0,1,0,0,0,1,0.4084,2011,2012
1,0.0154496536379971,0.0197423090318653,1720.20834122597,4773.049,0.1206,0,0,0,1,1,0,0,0,0.1263,2011,2012
1,0.0153704686459342,0.0415282119829381,1819.18394913235,4846.41300000001,0.0559,0,0,0,1,0,1,0,0,0.0568,2012,2013
1,0.0153704686459342,0.0415282119829381,1819.18394913235,4846.41300000001,0.4094,0,0,0,1,0,0,1,0,0.3978,2012,2013
1,0.0153704686459342,0.0415282119829381,1819.18394913235,4846.41300000001,0.4084,0,0,0,1,0,0,0,1,0.4133,2012,2013
1,0.0153704686459342,0.0415282119829381,1819.18394913235,4846.41300000001,0.1263,0,0,0,1,1,0,0,0,0.1321,2012,2013
1,0.0152597395228186,0.0250534462839641,1893.21654020408,4920.36800000001,0.0568,0,0,0,1,0,1,0,0,0.0557,2013,2014
1,0.0152597395228186,0.0250534462839641,1893.21654020408,4920.36800000001,0.3978,0,0,0,1,0,0,1,0,0.3898,2013,2014
1,0.0152597395228186,0.0250534462839641,1893.21654020408,4920.36800000001,0.4133,0,0,0,1,0,0,0,1,0.4166,2013,2014
1,0.0152597395228186,0.0250534462839641,1893.21654020408,4920.36800000001,0.1321,0,0,0,1,1,0,0,0,0.1378,2013,2014
1,0.0149921713172669,0.0291466843836024,1977.60823466273,4994.13500000001,0.0557,0,0,0,1,0,1,0,0,0.0561,2014,2015
1,0.0149921713172669,0.0291466843836024,1977.60823466273,4994.13500000001,0.3898,0,0,0,1,0,0,1,0,0.3624,2014,2015
1,0.0149921713172669,0.0291466843836024,1977.60823466273,4994.13500000001,0.4166,0,0,0,1,0,0,0,1,0.438,2014,2015
1,0.0149921713172669,0.0291466843836024,1977.60823466273,4994.13500000001,0.1378,0,0,0,1,1,0,0,0,0.1436,2014,2015
1,0.0147615152573963,0.0163883079067115,2039.68879704271,5067.856,0.0561,0,0,0,1,0,1,0,0,0.0552,2015,2016
1,0.0147615152573963,0.0163883079067115,2039.68879704271,5067.856,0.3624,0,0,0,1,0,0,1,0,0.3593,2015,2016
1,0.0147615152573963,0.0163883079067115,2039.68879704271,5067.856,0.438,0,0,0,1,0,0,0,1,0.4362,2015,2016
1,0.0147615152573963,0.0163883079067115,2039.68879704271,5067.856,0.1436,0,0,0,1,1,0,0,0,0.1493,2015,2016
