year,region,eolRecyclingMT,eolLandfillMT,eolIncinerationMT,eolMismanagedMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransportationMT,consumptionTextileMT,consumptionOtherMT,netImportsMT,netExportsMT,domesticProductionMT,netWasteExportMT,netWasteImportMT
2010,row,10.006752412962998,34.953899979078074,4.645992191732821,37.551471598470904,3.1098553047658672,19.15298293353357,5.886790353615223,15.27784090752108,35.95744181452306,8.038232471762965,16.42538665227911,10.703977608302973,6.0675588491717525,0,108.4849491971321,4.40912907,0
2011,row,10.915385030295617,37.253503138222854,5.059452928636194,37.28970673699664,3.444277211024667,23.446444327717654,10.020707562034247,16.142666160450204,40.447499662707436,9.341714689712013,18.558177247321737,10.430253211052296,13.834132231404958,0,117.9976078406153,4.591342242,0
2012,row,11.756386239876454,38.108191026171184,5.2033411782192704,38.01510799972719,3.6079254543277632,24.557148882201314,9.146552648780773,16.934730500560164,39.12519951209785,9.875950692326946,19.432212488936546,10.565081309176247,9.67646017699115,0,123.56834131141645,5.044925029,0
2013,row,12.761782280354165,38.43025731358733,5.487276559607241,39.92766552967734,3.6850433755788665,24.1710461200994,11.05291909955736,17.313635723981832,41.91386759544754,9.71588426953627,19.09362920028634,10.075681223255636,11.23856525496975,0,125.7831413527735,3.364792473,0
2014,row,14.23440265621872,40.265385743062815,5.7536736426080015,43.0337601348383,3.766430262438546,26.33220596963001,9.344740378123822,18.17114344659826,44.46975235935314,9.93874598920967,18.42988675366844,10.9090409580867,12.374971240755958,0,128.98697487635263,6.142289898,0
2015,row,15.632565080445158,39.45154307209836,6.1071511212602605,47.68150073283411,3.850965982625041,27.47089499928211,6.53789785505081,18.603758148760544,45.11477412705554,10.0091604519576,22.94306150408883,11.140993597447197,14.599999999999998,0,131.07150666626768,2.464655989,0
2016,row,16.972371599261056,40.84509789426991,6.2751166261166125,49.5870629042041,4.081660859745924,25.331546309681247,9.700626253475274,18.640156942579456,47.15598946503503,9.724635968334557,19.742804533100482,10.512248033513977,5.4399999999999995,0,139.44966836546593,8.46349192,0
2017,row,18.195347020308553,42.65928456245245,6.479891325942143,50.04307377262926,3.970367125346308,29.035716201324576,10.32636995195597,19.54365562402665,47.0061331665772,9.892859850558537,30.706783558622178,10.426218509855731,20.2,0,140.70810398826717,1.710125722,0
2018,row,19.423150380115512,43.44842780925093,6.703885858808526,51.227351220192716,4.108575694412968,27.08707075968363,10.438043578519965,18.975106353392384,48.44576010663887,9.618144062132455,26.15373634948405,10.374675407762645,8.047017699115043,0,147.15409461291193,0,2.4083440069999997
2019,row,20.741033629478917,43.973482709946296,6.938592031002858,52.91766417899486,4.133604382100662,31.519836633897512,10.52751619310962,20.47359071093471,48.93737466711869,10.89596342267899,28.61357164654855,12.083362212145852,25.29,0,141.8948198685346,0,2.168980043
2020,row,21.99913628412162,42.6321044995253,7.17557434223816,55.872443632801044,4.210489899708446,32.65051450505397,9.400564676271772,18.66063159990263,48.88317797409883,9.5316678321568,19.179847759780102,11.896723135514103,9.370000000000001,0,145.04361738248662,0,1.360316996
2021,row,23.574433685038628,43.95491553663071,7.435786956693236,57.46190234961588,4.391780886305241,32.08788622784596,10.873362152880873,20.741296655193196,51.4252185002515,10.854348300557547,28.429751430121087,11.921349275626596,19.346777396269527,0,151.37821603251248,0,5.224778633268743
2010,china,18.480810172687598,20.963856686068908,5.060785478544112,8.101465319083092,4.947934591634148,15.495896194767587,8.156615896807198,4.853914126010081,27.011961780099295,5.2456002430271464,18.83424355426969,1.0468770867676889,0,29.77,115.36304347338283,0,7.983915988
2011,china,22.273449391304496,22.69403846225732,5.8586280446808905,8.411781419056485,5.170372350628678,15.652558189016569,7.179000303016624,5.824932115223733,28.069509245163434,5.23843207695978,20.714955717102242,3.427868395891082,0,29.82,121.09762839300214,0,8.358701438
