alpha,degree,depth,estimators,kernel,max_features,testInSampleResponse,testInSampleTarget,testOutSampleResponse,testOutSampleTarget,trainInSampleResponse,trainInSampleTarget,trainOutSampleResponse,trainOutSampleTarget,type,validInSampleResponse,validInSampleTarget,validOutSampleResponse,validOutSampleTarget
0,,,,,,0.02690405912559561,0.02690405912559561,0.0243809912109375,0.0243809912109375,0.027365520230134714,0.027365520230134718,0.027679023048172758,0.027679023048172758,linear,0.02686082148682883,0.02686082148682883,0.0243809912109375,0.0243809912109375
0.2,,,,,,0.026959915633382483,0.02695991563338248,0.024342146429951934,0.024342146429951934,0.027431237040392645,0.02743123704039264,0.027687411921310454,0.027687411921310457,linear,0.02693299421787105,0.026932994217871053,0.024342146429951934,0.024342146429951934
0.4,,,,,,0.02702561963957371,0.027025619639573714,0.024484816761378637,0.024484816761378637,0.02750917006386092,0.02750917006386092,0.02775129571081468,0.02775129571081468,linear,0.02702720627273972,0.02702720627273972,0.024484816761378637,0.024484816761378637
0.6,,,,,,0.02710355341946004,0.02710355341946004,0.02463457443569369,0.024634574435693696,0.027602170659705955,0.027602170659705955,0.027821346964082144,0.027821346964082144,linear,0.02714048787922933,0.027140487879229333,0.02463457443569369,0.024634574435693696
0.8,,,,,,0.027195878791518073,0.027195878791518073,0.02479270854568994,0.02479270854568994,0.02770671238995585,0.02770671238995585,0.027897765413434684,0.027897765413434687,linear,0.027256248632819228,0.027256248632819228,0.02479270854568994,0.02479270854568994
1,,,,,,0.027304561847778647,0.027304561847778644,0.024959185797838006,0.024959185797838006,0.027821978164374893,0.02782197816437489,0.027981208435523933,0.027981208435523933,linear,0.027374547100600877,0.027374547100600877,0.024959185797838006,0.024959185797838006
0,1,,,linear,,0.050195511152391,0.050195511152391,0.05092281118788927,0.05092281118788927,0.04907768264764733,0.04907768264764733,0.050033129179826684,0.05003312917982669,svr,0.049345711375035496,0.049345711375035496,0.05092281118788927,0.05092281118788927
0.2,1,,,linear,,0.050115508761724395,0.050115508761724395,0.050326089733018706,0.05032608973301872,0.0489935185851967,0.04899351858519671,0.04952426067379253,0.049524260673792536,svr,0.049275937133501035,0.04927593713350103,0.050326089733018706,0.05032608973301872
0.4,1,,,linear,,0.050206521510323926,0.05020652151032393,0.050218748431773416,0.05021874843177342,0.04909739096825384,0.04909739096825384,0.04944559698656913,0.049445596986569126,svr,0.04937157288920071,0.04937157288920071,0.050218748431773416,0.05021874843177342
0.6,1,,,linear,,0.050148460286279735,0.05014846028627973,0.050350728483430154,0.05035072848343015,0.04902627071744048,0.049026270717440486,0.049523587738917164,0.049523587738917164,svr,0.04930049597186342,0.04930049597186342,0.050350728483430154,0.05035072848343015
0.8,1,,,linear,,0.04993971567162411,0.04993971567162412,0.05123671132765049,0.05123671132765049,0.048862852117534626,0.048862852117534626,0.050284304969480303,0.050284304969480303,svr,0.04913729867937351,0.04913729867937351,0.05123671132765049,0.05123671132765049
0,2,,,linear,,0.050195511152391,0.050195511152391,0.05092281118788927,0.05092281118788927,0.04907768264764733,0.04907768264764733,0.050033129179826684,0.05003312917982669,svr,0.049345711375035496,0.049345711375035496,0.05092281118788927,0.05092281118788927
0.2,2,,,linear,,0.050115508761724395,0.050115508761724395,0.050326089733018706,0.05032608973301872,0.0489935185851967,0.04899351858519671,0.04952426067379253,0.049524260673792536,svr,0.049275937133501035,0.04927593713350103,0.050326089733018706,0.05032608973301872
0.4,2,,,linear,,0.050206521510323926,0.05020652151032393,0.050218748431773416,0.05021874843177342,0.04909739096825384,0.04909739096825384,0.04944559698656913,0.049445596986569126,svr,0.04937157288920071,0.04937157288920071,0.050218748431773416,0.05021874843177342
0.6,2,,,linear,,0.050148460286279735,0.05014846028627973,0.050350728483430154,0.05035072848343015,0.04902627071744048,0.049026270717440486,0.049523587738917164,0.049523587738917164,svr,0.04930049597186342,0.04930049597186342,0.050350728483430154,0.05035072848343015
0.8,2,,,linear,,0.04993971567162411,0.04993971567162412,0.05123671132765049,0.05123671132765049,0.048862852117534626,0.048862852117534626,0.050284304969480303,0.050284304969480303,svr,0.04913729867937351,0.04913729867937351,0.05123671132765049,0.05123671132765049
0,3,,,linear,,0.050195511152391,0.050195511152391,0.05092281118788927,0.05092281118788927,0.04907768264764733,0.04907768264764733,0.050033129179826684,0.05003312917982669,svr,0.049345711375035496,0.049345711375035496,0.05092281118788927,0.05092281118788927
0.2,3,,,linear,,0.050115508761724395,0.050115508761724395,0.050326089733018706,0.05032608973301872,0.0489935185851967,0.04899351858519671,0.04952426067379253,0.049524260673792536,svr,0.049275937133501035,0.04927593713350103,0.050326089733018706,0.05032608973301872
0.4,3,,,linear,,0.050206521510323926,0.05020652151032393,0.050218748431773416,0.05021874843177342,0.04909739096825384,0.04909739096825384,0.04944559698656913,0.049445596986569126,svr,0.04937157288920071,0.04937157288920071,0.050218748431773416,0.05021874843177342
0.6,3,,,linear,,0.050148460286279735,0.05014846028627973,0.050350728483430154,0.05035072848343015,0.04902627071744048,0.049026270717440486,0.049523587738917164,0.049523587738917164,svr,0.04930049597186342,0.04930049597186342,0.050350728483430154,0.05035072848343015
0.8,3,,,linear,,0.04993971567162411,0.04993971567162412,0.05123671132765049,0.05123671132765049,0.048862852117534626,0.048862852117534626,0.050284304969480303,0.050284304969480303,svr,0.04913729867937351,0.04913729867937351,0.05123671132765049,0.05123671132765049
0,4,,,linear,,0.050195511152391,0.050195511152391,0.05092281118788927,0.05092281118788927,0.04907768264764733,0.04907768264764733,0.050033129179826684,0.05003312917982669,svr,0.049345711375035496,0.049345711375035496,0.05092281118788927,0.05092281118788927
0.2,4,,,linear,,0.050115508761724395,0.050115508761724395,0.050326089733018706,0.05032608973301872,0.0489935185851967,0.04899351858519671,0.04952426067379253,0.049524260673792536,svr,0.049275937133501035,0.04927593713350103,0.050326089733018706,0.05032608973301872
0.4,4,,,linear,,0.050206521510323926,0.05020652151032393,0.050218748431773416,0.05021874843177342,0.04909739096825384,0.04909739096825384,0.04944559698656913,0.049445596986569126,svr,0.04937157288920071,0.04937157288920071,0.050218748431773416,0.05021874843177342
0.6,4,,,linear,,0.050148460286279735,0.05014846028627973,0.050350728483430154,0.05035072848343015,0.04902627071744048,0.049026270717440486,0.049523587738917164,0.049523587738917164,svr,0.04930049597186342,0.04930049597186342,0.050350728483430154,0.05035072848343015
0.8,4,,,linear,,0.04993971567162411,0.04993971567162412,0.05123671132765049,0.05123671132765049,0.048862852117534626,0.048862852117534626,0.050284304969480303,0.050284304969480303,svr,0.04913729867937351,0.04913729867937351,0.05123671132765049,0.05123671132765049
0,1,,,poly,,0.05160768930005029,0.05160768930005029,0.05147535261976195,0.051475352619761945,0.050398628530918824,0.05039862853091883,0.05050520946258272,0.05050520946258272,svr,0.050541035635704154,0.050541035635704154,0.05147535261976195,0.051475352619761945
0.2,1,,,poly,,0.05145452547045497,0.051454525470454975,0.051476836879279085,0.051476836879279085,0.05024139440498329,0.05024139440498329,0.050465326970683094,0.0504653269706831,svr,0.05039156277977033,0.05039156277977033,0.051476836879279085,0.051476836879279085
0.4,1,,,poly,,0.05212566124313046,0.05212566124313046,0.05164573701394093,0.05164573701394093,0.05089724860094414,0.05089724860094415,0.050608944191936796,0.050608944191936796,svr,0.051189661630517,0.051189661630517,0.05164573701394093,0.05164573701394093
0.6,1,,,poly,,0.05281701104779039,0.05281701104779039,0.05182399812879388,0.05182399812879388,0.05147358031546767,0.05147358031546767,0.05068789184516633,0.05068789184516634,svr,0.051707132715469575,0.051707132715469575,0.05182399812879388,0.05182399812879388
0.8,1,,,poly,,0.05386523437023155,0.05386523437023155,0.053863463380051435,0.05386346338005142,0.052401242822613575,0.052401242822613575,0.052203572468529344,0.05220357246852935,svr,0.052550576341711994,0.05255057634171199,0.053863463380051435,0.05386346338005142
0,2,,,poly,,0.05847355113291355,0.05847355113291354,0.06925955654039409,0.06925955654039408,0.05732581214139689,0.0573258121413969,0.05422467993520762,0.054224679935207624,svr,0.05591897630007529,0.05591897630007529,0.06925955654039409,0.06925955654039408
0.2,2,,,poly,,0.05892085534158907,0.05892085534158907,0.06969945726783024,0.06969945726783024,0.05768153257601507,0.05768153257601506,0.05504768969407409,0.05504768969407408,svr,0.05614770560588746,0.05614770560588746,0.06969945726783024,0.06969945726783024
0.4,2,,,poly,,0.059959043285560794,0.059959043285560794,0.07048984509704581,0.07048984509704581,0.058530731357011964,0.058530731357011964,0.05629137980254202,0.05629137980254202,svr,0.05717083005107943,0.057170830051079424,0.07048984509704581,0.07048984509704581
0.6,2,,,poly,,0.06107046031521906,0.06107046031521906,0.07154080371171165,0.07154080371171166,0.06000277962252574,0.06000277962252574,0.05717604285080429,0.0571760428508043,svr,0.059222227313850524,0.059222227313850524,0.07154080371171165,0.07154080371171166
0.8,2,,,poly,,0.061957837371848776,0.061957837371848776,0.07454298212368823,0.07454298212368822,0.06108973282481178,0.06108973282481178,0.059407460923932544,0.05940746092393255,svr,0.06041531360002643,0.06041531360002643,0.07454298212368823,0.07454298212368822
